# partB17b_calibration_filtered.py; one row per condition × estimator × replicate; git=106bd33
condition,estimator,replicate,sts_level_pre,sts_did,pred_did,res_did,res_p,res_ci_lo,res_ci_hi,sym_did,anti_did
(i) Δa (post filter),global (period-level prediction),45,1.330572,-0.109966,-0.116274,0.006308,0.0179,0.002174,0.011039,nan,nan
(i) Δa (post filter),W60,46,1.188081,-0.092195,-0.093538,0.001343,0.0691,0.000042,0.002662,0.000001,0.007230
(i) Δa (post filter),global (run-level prediction),46,1.326890,-0.101214,0.000000,-0.101214,0.0001,-0.105294,-0.096870,nan,nan
(i) Δa (post filter),global (period-level prediction),46,1.326890,-0.101214,-0.105773,0.004560,0.0382,0.001031,0.008235,nan,nan
(i) Δa (post filter),W60,47,1.186728,-0.094951,-0.095884,0.000933,0.5365,-0.001967,0.003548,-0.000216,0.007833
(i) Δa (post filter),global (run-level prediction),47,1.326000,-0.110272,0.000000,-0.110272,0.0001,-0.115799,-0.104551,nan,nan
(i) Δa (post filter),global (period-level prediction),47,1.326000,-0.110272,-0.109977,-0.000295,0.8864,-0.003992,0.003509,nan,nan
(i) Δa (post filter),W60,48,1.186892,-0.094186,-0.095894,0.001708,0.2756,-0.000352,0.004493,0.000041,0.007181
(i) Δa (post filter),global (run-level prediction),48,1.322997,-0.099392,0.000000,-0.099392,0.0001,-0.103132,-0.095672,nan,nan
(i) Δa (post filter),global (period-level prediction),48,1.322997,-0.099392,-0.104718,0.005326,0.0178,0.001589,0.008843,nan,nan
(i) Δa (post filter),W60,49,1.192539,-0.096882,-0.098013,0.001131,0.1730,-0.000323,0.002582,0.000054,0.006025
(i) Δa (post filter),global (run-level prediction),49,1.328884,-0.106095,-0.000000,-0.106095,0.0001,-0.112487,-0.099782,nan,nan
(i) Δa (post filter),global (period-level prediction),49,1.328884,-0.106095,-0.109083,0.002988,0.2389,-0.001533,0.007601,nan,nan
(i) Δa (post filter),W60,50,1.190177,-0.096224,-0.097427,0.001203,0.4027,-0.001437,0.003784,-0.000258,0.006754
(i) Δa (post filter),global (run-level prediction),50,1.327138,-0.107010,0.000000,-0.107010,0.0001,-0.112025,-0.101732,nan,nan
(i) Δa (post filter),global (period-level prediction),50,1.327138,-0.107010,-0.109506,0.002496,0.2188,-0.001248,0.006111,nan,nan
(ii) Δc = +0.01,W60,1,1.186951,-0.003109,-0.002839,-0.000270,0.8619,-0.002709,0.002620,-0.000043,-0.001097
(ii) Δc = +0.01,global (run-level prediction),1,1.332571,-0.001577,0.000000,-0.001577,0.6355,-0.007240,0.004233,nan,nan
(ii) Δc = +0.01,global (period-level prediction),1,1.332571,-0.001577,0.000858,-0.002435,0.1121,-0.005071,-0.000049,nan,nan
(ii) Δc = +0.01,W60,2,1.186484,-0.000933,-0.001780,0.000847,0.6064,-0.002067,0.003683,0.000596,0.001078
(ii) Δc = +0.01,global (run-level prediction),2,1.334017,-0.000571,0.000000,-0.000571,0.8610,-0.006587,0.005286,nan,nan
