configuration,run_type,term,value,se,n,ci_lo,ci_hi
control common drive,PCB,eps,-4.3733108818909575e-05,3.7987893021325593e-06,25000.0,,
control common drive,PCB,d60,0.012653721133275765,5.075947019460637e-05,25000.0,,
control common drive,PCB,d60_winsign,0.011946405097722131,4.367664524977594e-05,25000.0,,
control pooling,PCB,run,0.0012964666139839924,5.56749140323161e-05,25000.0,,
control pooling,PCB,wd,0.001303420103668965,5.578561612908293e-05,25000.0,,
control pooling,PCB,means,-6.953489684972826e-06,2.8715302099642637e-06,25000.0,,
control pooling,PCB,within,0.00042303797393243857,5.030509797797445e-05,25000.0,,
control pooling,PCB,pool,0.0008917777958606729,2.0411787099816434e-05,25000.0,,
control pooling,PCB,eps,-1.1395666124146184e-05,8.012262150903653e-06,25000.0,,
control pooling,PCB,d60,0.000321349146479115,4.225317080379601e-05,25000.0,,
control pooling,PCB,d60_winsign,0.0026907772685759545,4.149198717634954e-05,25000.0,,
0,null-corrected,run,0.0030066877731691932,,,0.0026064552559837318,0.003404757143084712
0,null-corrected,wd,0.0029716295362981135,,,0.0025765470362752937,0.0033639789026521823
0,null-corrected,means,3.50582368710771e-05,,,2.0788076891080056e-05,5.018866064121529e-05
0,null-corrected,within,0.002504682637412978,,,0.0021687426640524883,0.002846498683994739
0,null-corrected,pool,0.0004640084101328979,,,0.0003505048250819811,0.0005860635335474551
0,null-corrected,eps,2.9384887521966173e-06,,,-2.120704537592142e-05,2.7711177260749383e-05
0,null-corrected,d60,0.0022761655623641905,,,0.0019421071549426264,0.002634189947595112
0,null-corrected,d60_winsign,0.0025940363641811888,,,0.002111279078104102,0.0031342191932813264
1,null-corrected,run,0.003110240043435383,,,0.0027100075262499216,0.003508309413350902
1,null-corrected,wd,0.003079732493355661,,,0.0026846499933328417,0.00347208185970973
1,null-corrected,means,3.0507550079719392e-05,,,1.623739009972235e-05,4.563797384985758e-05
1,null-corrected,within,0.0026022146458106587,,,0.002266274672450169,0.0029440306923924197
1,null-corrected,pool,0.00047163859214079953,,,0.00035813500708988276,0.0005936937155553568
1,null-corrected,eps,5.8792554041621435e-06,,,-1.8266278723955894e-05,3.0651943912714906e-05
1,null-corrected,d60,0.002382523486419477,,,0.0020484650789979126,0.0027405478716503984
1,null-corrected,d60_winsign,0.00246963069265235,,,0.001986873406575263,0.0030098135217524876
2,null-corrected,run,0.0030863336926056574,,,0.002686101175420196,0.0034844030625211762
2,null-corrected,wd,0.00305955535593116,,,0.0026644728559083405,0.003451904722285229
2,null-corrected,means,2.677833667449449e-05,,,1.2508176694497444e-05,4.190876044463268e-05
2,null-corrected,within,0.0025836229799794503,,,0.0022476830066189605,0.0029254390265612113
2,null-corrected,pool,0.00046921436387674023,,,0.00035571077882582346,0.0005912694872912974
2,null-corrected,eps,6.718012074928879e-06,,,-1.742752205318916e-05,3.149070058348164e-05
2,null-corrected,d60,0.0023504727204605247,,,0.0020164143130389604,0.0027084971056914463
2,null-corrected,d60_winsign,0.002794743018170875,,,0.0023119857320937883,0.0033349258472710128
3,null-corrected,run,0.002940976167003008,,,0.0025407436498175464,0.0033390455369185267
3,null-corrected,wd,0.002920429174752519,,,0.0025253466747296996,0.003312778541106588
3,null-corrected,means,2.0546992250485792e-05,,,6.276832270488747e-06,3.567741602062398e-05
3,null-corrected,within,0.002467986082268275,,,0.002132046108907785,0.002809802128850036
3,null-corrected,pool,0.0004505231709501824,,,0.00033701958589926555,0.0005725782943647396
3,null-corrected,eps,1.91992153402157e-06,,,-2.2225612594096467e-05,2.6692610042574336e-05
3,null-corrected,d60,0.0022416828013920235,,,0.001907624393970459,0.002599707186622945
3,null-corrected,d60_winsign,0.002486147405293984,,,0.002003390119216897,0.0030263302343941216
4,null-corrected,run,0.003078802771877289,,,0.0026785702546918274,0.0034768721417928077
4,null-corrected,wd,0.0030575017816724917,,,0.0026624192816496724,0.003449851148026561
4,null-corrected,means,2.1300990204793963e-05,,,7.0308302247969174e-06,3.643141397493215e-05
4,null-corrected,within,0.0025796599076672788,,,0.002243719934306789,0.00292147595424904
4,null-corrected,pool,0.00047834861645163135,,,0.0003648450314007146,0.0006004037398661886
4,null-corrected,eps,-5.06742446458464e-07,,,-2.46522765745765e-05,2.42659460620943e-05
4,null-corrected,d60,0.0023566884074791056,,,0.0020226300000575413,0.002714712792710027
4,null-corrected,d60_winsign,0.0025272642708119514,,,0.0020445069847348646,0.003067447099912089
5,null-corrected,run,0.0030429655128386625,,,0.002642732995653201,0.0034410348827541813
