# partB22_aligned_directed.py; one row per variant, subject, run and W = 60 window; git=a9d9ca4
variant,subject,run,window,A_other,A_same,winsign,B,D,Sym,D_plus_Sym,Both,rms_anti,residual,sd_r1,sd_absq
ts_gsr,3,PCB,3,0.0034143442,0.0036488599,0.0057992156,0.017138965,-0.036786142,-0.023260057,-0.060046198,-0.062017987,0.092288827,-0.062272255,0.028817802,0.21549156
ts_gsr,3,PCB,4,0.00088197923,0.0015167232,0.0065766934,0.021240308,-0.031390681,-0.014160154,-0.045550836,-0.04695955,0.092764951,-0.046203626,0.02774913,0.20286469
ts_gsr,3,PCB,5,0.002604607,0.0037936262,0.0056325247,0.014825,-0.042226304,-0.007972838,-0.050199142,-0.052060582,0.11420626,-0.052387593,0.025913081,0.20475721
ts_gsr,3,PCB,6,0.0061698164,0.008030742,0.0093626352,0.026377373,-0.038876398,-0.033586848,-0.072463246,-0.074806043,0.10064333,-0.073045517,0.033168162,0.21936424
ts_gsr,3,PCB,7,0.0009100006,0.0015777635,0.0068435397,0.023155023,-0.037639001,-0.010411343,-0.048050344,-0.050191891,0.11059712,-0.049476987,0.026069489,0.18904191
ts_gsr,3,PCB,8,0.0016100481,0.0042635138,0.0077482783,0.025751217,-0.031596501,-0.020377851,-0.051974352,-0.053906014,0.091863558,-0.053089332,0.025299115,0.19713264
ts_gsr,3,PCB,9,0.0054253852,0.0062391823,0.0080918217,0.025961823,-0.031691148,-0.02234475,-0.054035898,-0.056323622,0.092777918,-0.055781078,0.023625082,0.20014742
ts_gsr,3,PCB,10,0.0015274938,0.0025929865,0.0054518846,0.018575889,-0.035992457,-0.0090958808,-0.045088338,-0.046353897,0.10521629,-0.046179899,0.027571057,0.19307105
ts_gsr,3,PCB,11,0.00028649542,0.00041287201,0.003328513,0.012926401,-0.034137928,-0.001188832,-0.03532676,-0.036170607,0.09860312,-0.035093626,0.025726799,0.19805321
ts_gsr,3,PCB,12,0.0022282069,0.0013532686,0.005590017,0.019542674,-0.03306129,-0.005767604,-0.038828894,-0.039905853,0.10359466,-0.039810996,0.030344326,0.1883164
ts_gsr,3,PCB,13,0.00095948013,0.0016009425,0.002914557,0.0097116466,-0.032801532,0.0009593839,-0.031842148,-0.032391264,0.094377392,-0.032713626,0.027535835,0.20726002
