variant,subject,condition,n_trs,n_trs_last_window,delta_run,delta_wd,delta_means,delta_within,delta_pool,delta_eps,delta_d60,delta_d60_winsign,a,absq,sumpi,frac_qneg,frac_absq05,frac_absq10
ts_demean,8,DMT,840,60,-0.0024652881150869547,-0.002401746375126965,-6.354173995998968e-05,-0.002001773713504078,-0.0003691836538374018,-3.078900778548532e-05,-0.0033201655882545865,0.001704430520636704,0.8581306019350364,0.230641260742332,0.9540361649892177,0.1397406559877956,0.14996186117467583,0.28771929824561404
ts_demean,8,PCB,840,60,-0.000977392954048149,-0.0009941587981098978,1.6765844061749022e-05,-0.0007635167095355453,-0.00019925029384912122,-3.139179472523147e-05,-0.0015427939269517159,0.0037019124566536506,0.8783601605434741,0.2365973829171831,0.9568339533204948,0.2112890922959573,0.1452326468344775,0.2758199847444699
ts_demean,9,DMT,840,60,-0.007714073307654533,-0.007725000146551282,1.0926838896747822e-05,-0.004914786102490637,-0.002852766598949959,4.255255488931432e-05,-0.0043259638817286115,-0.0007990664521360278,0.8531188467001527,0.44540798430697326,0.9685461073503678,0.004424103737604882,0.007017543859649123,0.017848970251716247
ts_demean,9,PCB,840,60,-0.006793697398785402,-0.00672715243382351,-6.654496496189177e-05,-0.006533487205788399,0.00026928537195020254,-0.00046295059998531415,-0.007114559492022416,-0.00045502257284721874,0.8606096041092768,0.29965413703720484,0.9685360438699077,0.05736079328756674,0.06346300533943555,0.14538520213577422
ts_demean,10,DMT,840,60,-0.007657366486736163,-0.007834110939875164,0.00017674445313899852,-0.007170324941666743,-0.0004951911764074292,-0.0001685948218009889,-0.0077777100713046715,-0.002085993719578866,0.8506236487354548,0.2922522882694534,0.9692275250097729,0.11853546910755149,0.09046529366895499,0.18016781083142638
ts_demean,10,PCB,840,60,-0.010373588314790768,-0.01032780136273112,-4.578695205964715e-05,-0.008864453643748247,-0.0010445063082908902,-0.0004188414106919834,-0.009269224242051073,-0.004474331780125225,0.8490174880229022,0.2819207323538451,0.9686594683287262,0.09397406559877956,0.09610983981693363,0.18291380625476736
ts_demean,11,DMT,840,60,0.001031412808009024,0.0010235104764507116,7.902331558312428e-06,0.0009003105465466132,0.00022526955015551183,-0.00010206962025141357,0.0006890131416632239,0.003362850109538488,0.8507033556221996,0.19092486261428782,0.9604222277822838,0.2796338672768879,0.16125095347063312,0.33729977116704807
ts_demean,11,PCB,840,60,0.002719179290908669,0.0026930069499609276,2.6172340947740987e-05,0.002522152187645786,0.00021821665119256154,-4.7361888877420205e-05,0.00200915381860815,0.005330789700623188,0.8631721102410626,0.20670732684711016,0.9629479513215692,0.410373760488177,0.16079328756674294,0.32036613272311215
ts_demean,12,DMT,840,60,-0.003987531041951614,-0.003921061665172585,-6.646937677902862e-05,-0.004456580479442487,0.0007420395418218096,-0.00020652072755190847,-0.00528644625690673,-0.0022201016352380383,0.8581621927670713,0.4651916771169609,0.9712082773371172,0.0036613272311212816,0.004729214340198322,0.014187643020594966
ts_demean,12,PCB,840,60,-0.012569864128975048,-0.012561370755640172,-8.493373334873708e-06,-0.01116333538841597,-0.0012711269527629022,-0.00012690841446129776,-0.012008158854055635,-0.005822157680504624,0.8465406628619939,0.3659568489551237,0.9677042036385204,0.021967963386727688,0.034324942791762014,0.07093821510297482
ts_demean,13,DMT,840,60,-0.01762586563639269,-0.017599087329814002,-2.6778306578688224e-05,-0.013539103336501455,-0.0039010445628004896,-0.00015893943051205578,-0.014123950172912151,-0.008080054888799393,0.8240651193876347,0.34509612017920865,0.9657386252956205,0.016018306636155607,0.03371472158657513,0.07536231884057971
ts_demean,13,PCB,840,60,-0.0032046268351729377,-0.003242332482467535,3.770564729459727e-05,-0.0029362524152355992,-0.0003862608314186357,8.018076418669963e-05,-0.0030568344116503237,0.0008557071891202122,0.8562714056592635,0.25954375928582507,0.9671491498979468,0.19221967963386727,0.1270785659801678,0.24576659038901602
ts_demean,14,DMT,840,60,0.002089583164860909,0.002108919838833798,-1.933667397288886e-05,0.001416627025360969,0.0006052743284839036,8.701848498892502e-05,0.0012462502339434369,0.0023001388981215678,0.8447431214938664,0.21201276180334183,0.9593140726789735,0.3392829900839054,0.15835240274599544,0.3109077040427155
ts_demean,14,PCB,840,60,0.002964833992036494,0.0029690724198098107,-4.238427773317375e-06,0.002423244109212152,0.00033256072622451214,0.00021326758437314707,0.001286438212577481,0.005232299038710793,0.8604685000907832,0.2262299580087744,0.9665344176467514,0.16445461479786422,0.14584286803966437,0.28756674294431733
