# partB21_inference_revision.py; one row per quantity; git=a9d9ca4
group,label,set,field,source,quoted_at,n,mean,committed_mean,check,p_exact,committed_p,p_tol,pct_lo,pct_hi,inv_lo,inv_hi,t_lo,t_hi,width_ratio,zero_in_pct,zero_in_inv,zero_in_t,n_neg,grid_violations,note
pickle,CCS rtr ts_demean W60,sensitivity,did,notes/review_results/inference_rows_ccs.pkl,,14,0.006961462408566791,np.float64(0.006961462408566791),ok,0.3916015625,0.3916015625,1e-09,np.float64(-0.0053210688442028396),np.float64(0.022532875243028876),-0.007603398039144848,0.022975863802356153,np.float64(-0.008701483959833336),np.float64(0.02262440877696692),np.float64(1.0978431544823333),yes,yes,yes,8,0,
pickle,CCS rtr ts_demean W60,early,did,notes/review_results/inference_rows_ccs.pkl,,14,-0.0005939093638320593,np.float64(-0.0005939093638320593),ok,0.9522705078125,0.9522705078125,1e-09,np.float64(-0.01534203777237722),np.float64(0.01703625627422083),-0.017926060154335156,0.01844667217161521,np.float64(-0.019484340586928262),np.float64(0.018296521859264146),np.float64(1.1233677806991198),yes,yes,yes,8,0,
pickle,CCS rtr ts_demean W60,late,did,notes/review_results/inference_rows_ccs.pkl,,14,0.009470152201975382,np.float64(0.009470152201975382),ok,0.2525634765625,0.2525634765625,1e-09,np.float64(-0.004812119194015545),np.float64(0.02445652908269425),-0.006764397598570466,0.02630361179728774,np.float64(-0.007270686610534186),np.float64(0.02621099101448495),np.float64(1.1298099277844582),yes,yes,yes,5,0,
pickle,CCS rtr ts_demean W60,trend_a_placebo_line,did,notes/review_results/inference_rows_ccs.pkl,,14,0.0065195514503394525,np.float64(0.0065195514503394525),ok,0.396484375,0.396484375,1e-09,np.float64(-0.005304828587047964),np.float64(0.020643725507536268),-0.007765354870840215,0.021741175596149333,np.float64(-0.00854777843430641),np.float64(0.021586881334985316),np.float64(1.137116556068452),yes,yes,yes,6,0,
pickle,CCS rtr ts_demean W60,trend_b_shared_slope,did,notes/review_results/inference_rows_ccs.pkl,,14,0.002993649040865653,np.float64(0.002993649040865653),ok,0.658447265625,0.658447265625,1e-09,np.float64(-0.008177973525112552),np.float64(0.015956754416639424),-0.010794991906826288,0.01699930271467555,np.float64(-0.010866724090192653),np.float64(0.01685402217192396),np.float64(1.1516307409216318),yes,yes,yes,10,0,
pickle,CCS sts ts_demean global-bins,primary,did,notes/review_results/inference_rows_ccs.pkl,,14,0.03214905556072616,np.float64(0.03214905556072616),ok,0.0001220703125,0.0001220703125,1e-09,np.float64(0.02161231248900287),np.float64(0.04310748895101177),0.01976249527854123,0.04471011630908168,np.float64(0.019754123557383804),np.float64(0.04454398756406852),np.float64(1.1606148511799141),no,no,no,0,0,
pickle,CCS sts ts_demean global-bins,sensitivity,did,notes/review_results/inference_rows_ccs.pkl,,14,0.031698971424267385,np.float64(0.031698971424267385),ok,0.0001220703125,0.0001220703125,1e-09,np.float64(0.02145253674419746),np.float64(0.0427862192345839),0.019440238199135783,0.04413882946812061,np.float64(0.019437228012230436),np.float64(0.04396071483630433),np.float64(1.1577275175120239),no,no,no,0,0,
pickle,CCS sts ts_demean global-bins,early,did,notes/review_results/inference_rows_ccs.pkl,,14,0.029418484487962242,np.float64(0.029418484487962242),ok,0.0001220703125,0.0001220703125,1e-09,np.float64(0.020831614964637993),np.float64(0.03859062774795044),0.019111154017723703,0.039888799935034434,np.float64(0.019091391756681703),np.float64(0.03974557721924278),np.float64(1.1699775303295459),no,no,no,0,0,
pickle,CCS sts ts_demean global-bins,late,did,notes/review_results/inference_rows_ccs.pkl,,14,0.0343335124189373,np.float64(0.0343335124189373),ok,0.0003662109375,0.0003662109375,1e-09,np.float64(0.021290792974514607),np.float64(0.047729862261204466),0.019090090692839567,0.049624183142628425,np.float64(0.019208494882175912),np.float64(0.04945852995569869),np.float64(1.1548852994292256),no,no,no,1,0,
pickle,CCS sts ts_demean global-bins,trend_a_placebo_line,did,notes/review_results/inference_rows_ccs.pkl,,14,0.03622242041695391,np.float64(0.03622242041695391),ok,0.0001220703125,0.0001220703125,1e-09,np.float64(0.02475329099952508),np.float64(0.04848844637660953),0.02260903016503127,0.049871081652477695,np.float64(0.022684922716503547),np.float64(0.04975991811740427),np.float64(1.1485937654222007),no,no,no,0,0,
