# partB17_calibration.py; one row per condition × estimator × replicate; git=f1f5fcc
condition,estimator,replicate,sts_level_pre,sts_did,pred_did,res_did,res_p,res_ci_lo,res_ci_hi,sym_did,anti_did
(i) Δa = −0.015, Δc = 0,global (run-level prediction),50,1.129516,-0.067070,-0.000000,-0.067070,0.0001,-0.075249,-0.059721,nan,nan
(i) Δa = −0.015, Δc = 0,global (period-level prediction),50,1.129516,-0.067070,-0.073958,0.006888,0.0902,0.000175,0.013502,nan,nan
(ii) Δc = +0.01,W60,1,0.715294,-0.000551,0.000336,-0.000887,0.7073,-0.004990,0.003665,0.006869,0.000728
(ii) Δc = +0.01,global (run-level prediction),1,1.142254,-0.001965,-0.000000,-0.001965,0.6219,-0.009136,0.005998,nan,nan
(ii) Δc = +0.01,global (period-level prediction),1,1.142254,-0.001965,0.004715,-0.006681,0.0826,-0.013407,0.000290,nan,nan
(ii) Δc = +0.01,W60,2,0.715489,-0.003389,0.001492,-0.004881,0.0088,-0.007825,-0.001921,0.007184,0.001622
(ii) Δc = +0.01,global (run-level prediction),2,1.140274,0.000534,0.000000,0.000534,0.9004,-0.007358,0.008254,nan,nan
(ii) Δc = +0.01,global (period-level prediction),2,1.140274,0.000534,0.005408,-0.004875,0.0797,-0.009815,0.000095,nan,nan
(ii) Δc = +0.01,W60,3,0.714664,0.000291,0.002217,-0.001927,0.2102,-0.004707,0.000968,0.008302,-0.000430
(ii) Δc = +0.01,global (run-level prediction),3,1.138404,-0.001420,0.000000,-0.001420,0.7736,-0.010510,0.007944,nan,nan
(ii) Δc = +0.01,global (period-level prediction),3,1.138404,-0.001420,0.002956,-0.004376,0.2646,-0.012350,0.001883,nan,nan
(ii) Δc = +0.01,W60,4,0.714518,-0.005690,-0.001569,-0.004121,0.1180,-0.008619,0.000648,0.007463,-0.000974
(ii) Δc = +0.01,global (run-level prediction),4,1.141265,-0.016432,-0.000000,-0.016432,0.0013,-0.023689,-0.009803,nan,nan
(ii) Δc = +0.01,global (period-level prediction),4,1.141265,-0.016432,-0.006709,-0.009723,0.0037,-0.014575,-0.004846,nan,nan
(ii) Δc = +0.01,W60,5,0.715338,0.001296,0.003794,-0.002498,0.1531,-0.005726,0.000485,0.008173,0.000473
(ii) Δc = +0.01,global (run-level prediction),5,1.142605,0.000976,0.000000,0.000976,0.8551,-0.008346,0.011406,nan,nan
(ii) Δc = +0.01,global (period-level prediction),5,1.142605,0.000976,0.005244,-0.004269,0.1666,-0.009622,0.001571,nan,nan
(ii) Δc = +0.01,W60,6,0.713686,0.011443,0.010292,0.001151,0.6656,-0.003002,0.005722,0.006391,-0.000666
(ii) Δc = +0.01,global (run-level prediction),6,1.136627,0.006618,0.000000,0.006618,0.0875,0.001026,0.014387,nan,nan
(ii) Δc = +0.01,global (period-level prediction),6,1.136627,0.006618,0.005730,0.000887,0.7568,-0.004205,0.006474,nan,nan
(ii) Δc = +0.01,W60,7,0.716085,0.003079,0.003250,-0.000171,0.9442,-0.004839,0.004237,0.007431,0.000260
(ii) Δc = +0.01,global (run-level prediction),7,1.138490,0.003314,-0.000000,0.003314,0.5138,-0.005209,0.013849,nan,nan
(ii) Δc = +0.01,global (period-level prediction),7,1.138490,0.003314,0.004264,-0.000950,0.7214,-0.005557,0.003967,nan,nan
(ii) Δc = +0.01,W60,8,0.716712,-0.000975,-0.001427,0.000452,0.7849,-0.002511,0.003751,0.006506,0.002107
(ii) Δc = +0.01,global (run-level prediction),8,1.136331,0.002474,-0.000000,0.002474,0.4825,-0.004365,0.008238,nan,nan
(ii) Δc = +0.01,global (period-level prediction),8,1.136331,0.002474,0.001842,0.000631,0.8575,-0.006050,0.006872,nan,nan
(ii) Δc = +0.01,W60,9,0.718880,0.000711,0.001059,-0.000348,0.8077,-0.002998,0.002453,0.007554,-0.000912
(ii) Δc = +0.01,global (run-level prediction),9,1.140652,0.002062,0.000000,0.002062,0.7014,-0.005156,0.011424,nan,nan
(ii) Δc = +0.01,global (period-level prediction),9,1.140652,0.002062,0.002757,-0.000694,0.7502,-0.004652,0.003650,nan,nan
(ii) Δc = +0.01,W60,10,0.716159,-0.001830,-0.002836,0.001007,0.6610,-0.003023,0.005329,0.007455,-0.000139
(ii) Δc = +0.01,global (run-level prediction),10,1.142643,-0.005286,-0.000000,-0.005286,0.3682,-0.015270,0.006151,nan,nan
(ii) Δc = +0.01,global (period-level prediction),10,1.142643,-0.005286,-0.002723,-0.002563,0.5106,-0.009490,0.004218,nan,nan
(ii) Δc = +0.01,W60,11,0.716032,0.003425,0.002842,0.000583,0.7101,-0.002271,0.003528,0.008098,-0.000118
(ii) Δc = +0.01,global (run-level prediction),11,1.134904,0.005150,-0.000000,0.005150,0.2769,-0.003312,0.012842,nan,nan
(ii) Δc = +0.01,global (period-level prediction),11,1.134904,0.005150,0.009511,-0.004361,0.0803,-0.008820,-0.000251,nan,nan
(ii) Δc = +0.01,W60,12,0.713340,-0.001448,0.000831,-0.002279,0.1743,-0.005100,0.001035,0.007554,0.000233
(ii) Δc = +0.01,global (run-level prediction),12,1.134753,0.004828,0.000000,0.004828,0.2985,-0.002949,0.013690,nan,nan
(ii) Δc = +0.01,global (period-level prediction),12,1.134753,0.004828,0.005322,-0.000495,0.8356,-0.004944,0.004061,nan,nan
(ii) Δc = +0.01,W60,13,0.717500,-0.001148,-0.000967,-0.000181,0.9005,-0.002824,0.002567,0.006558,0.000429
