# script=01_synergy_timecourse.py variant=ts_gsr regions=115 region_selection=all excluded_regions=20 atom=sts tau=1 redundancy=MMI fit_mode=global seed=20261120 git=18ad8b4
subject,condition,bin,synergy_mean
9,PCB,13,1.319562
9,PCB,14,1.244271
9,PCB,15,1.304231
9,PCB,16,1.270215
9,PCB,17,1.290531
9,PCB,18,1.214887
9,PCB,19,1.168477
9,PCB,20,1.274967
9,PCB,21,1.445482
9,PCB,22,1.399366
9,PCB,23,1.401266
9,PCB,24,1.372778
9,PCB,25,1.305757
9,PCB,26,1.432221
9,PCB,27,1.511979
10,DMT,0,1.256367
10,DMT,1,1.228717
10,DMT,2,1.343254
10,DMT,3,1.228590
10,DMT,4,1.212995
10,DMT,5,1.071931
10,DMT,6,1.241384
10,DMT,7,1.226998
10,DMT,8,1.203127
10,DMT,9,1.035646
10,DMT,10,1.274924
10,DMT,11,1.260505
10,DMT,12,1.204766
10,DMT,13,1.194712
10,DMT,14,1.216596
10,DMT,15,1.313070
10,DMT,16,1.301329
10,DMT,17,1.213679
10,DMT,18,1.146982
10,DMT,19,1.203109
10,DMT,20,1.294479
10,DMT,21,1.085671
10,DMT,22,1.218928
10,DMT,23,1.272558
10,DMT,24,1.418132
10,DMT,25,1.266897
10,DMT,26,1.339582
10,DMT,27,1.265949
10,PCB,0,1.143135
10,PCB,1,1.147916
10,PCB,2,1.239966
10,PCB,3,1.136369
10,PCB,4,1.202738
10,PCB,5,1.171655
10,PCB,6,1.282450
10,PCB,7,1.205795
10,PCB,8,1.176790
10,PCB,9,1.132814
10,PCB,10,1.254447
10,PCB,11,1.317054
10,PCB,12,1.274747
10,PCB,13,1.301453
10,PCB,14,1.172970
10,PCB,15,1.203000
10,PCB,16,1.343837
10,PCB,17,1.223537
10,PCB,18,1.292787
10,PCB,19,1.332709
10,PCB,20,1.365881
10,PCB,21,1.228174
10,PCB,22,1.211181
10,PCB,23,1.334144
10,PCB,24,1.240821
10,PCB,25,1.361589
10,PCB,26,1.323795
10,PCB,27,1.221376
11,DMT,0,1.072466
11,DMT,1,1.274192
11,DMT,2,1.255348
11,DMT,3,1.356591
11,DMT,4,1.481489
11,DMT,5,1.363132
11,DMT,6,1.351064
11,DMT,7,1.300013
11,DMT,8,1.304446
11,DMT,9,1.197690
11,DMT,10,1.202694
11,DMT,11,1.237015
11,DMT,12,1.284565
11,DMT,13,1.222135
11,DMT,14,1.157940
11,DMT,15,1.268156
11,DMT,16,1.240962
11,DMT,17,1.343061
11,DMT,18,1.307367
11,DMT,19,1.212406
11,DMT,20,1.137037
11,DMT,21,1.245043
11,DMT,22,1.346399
11,DMT,23,1.363366
11,DMT,24,1.256525
11,DMT,25,1.317404
11,DMT,26,1.389996
11,DMT,27,1.320443
11,PCB,0,1.352887
11,PCB,1,1.295494
11,PCB,2,1.211974
11,PCB,3,1.337623
11,PCB,4,1.333464
11,PCB,5,1.260636
11,PCB,6,1.543492
11,PCB,7,1.123609
11,PCB,8,1.356669
11,PCB,9,1.295287
11,PCB,10,1.336494
11,PCB,11,1.386030
11,PCB,12,1.369466
11,PCB,13,1.201229
11,PCB,14,1.361828
11,PCB,15,1.423394
11,PCB,16,1.340769
11,PCB,17,1.341247
11,PCB,18,1.166625
11,PCB,19,1.337380
11,PCB,20,1.338873
11,PCB,21,1.286263
11,PCB,22,1.380460
11,PCB,23,1.291193
11,PCB,24,1.334050
11,PCB,25,1.310281
11,PCB,26,1.260995
11,PCB,27,1.219237
12,DMT,0,1.343529
12,DMT,1,1.284548
12,DMT,2,1.077808
12,DMT,3,1.246750
12,DMT,4,1.282476
12,DMT,5,1.183732
12,DMT,6,1.401654
12,DMT,7,1.370180
12,DMT,8,1.194298
12,DMT,9,1.196249
12,DMT,10,1.267098
12,DMT,11,1.098650
12,DMT,12,1.095714
12,DMT,13,1.281104
12,DMT,14,1.269483
12,DMT,15,1.227462
12,DMT,16,1.213682
12,DMT,17,1.232510
12,DMT,18,1.219021
12,DMT,19,1.203725
12,DMT,20,1.320467
12,DMT,21,1.300990
12,DMT,22,1.296706
12,DMT,23,1.285487
12,DMT,24,1.285975
12,DMT,25,1.185295
12,DMT,26,1.294037
12,DMT,27,1.411688
12,PCB,0,1.418261
12,PCB,1,1.304165
12,PCB,2,1.237294
12,PCB,3,1.459581
12,PCB,4,1.395178
12,PCB,5,1.218432
12,PCB,6,1.314810
12,PCB,7,1.232571
12,PCB,8,1.234872
12,PCB,9,1.219074
12,PCB,10,1.270011
12,PCB,11,1.385781
12,PCB,12,1.278503
12,PCB,13,1.212786
12,PCB,14,1.265760
12,PCB,15,1.188783
12,PCB,16,1.193634
12,PCB,17,1.303230
12,PCB,18,1.268984
12,PCB,19,1.182957
12,PCB,20,1.271497
12,PCB,21,1.310399
12,PCB,22,1.307491
12,PCB,23,1.308893
12,PCB,24,1.494815
12,PCB,25,1.347367
12,PCB,26,1.169792
12,PCB,27,1.441482
13,DMT,0,1.240048
13,DMT,1,1.158330
13,DMT,2,1.174010
13,DMT,3,1.221931
13,DMT,4,1.067972
13,DMT,5,1.037224
13,DMT,6,0.905252
13,DMT,7,0.907109
13,DMT,8,1.226779
13,DMT,9,1.247500
13,DMT,10,1.171877
13,DMT,11,1.251324
13,DMT,12,1.168122
13,DMT,13,1.146038
13,DMT,14,1.170527
13,DMT,15,1.209679
13,DMT,16,1.126445
13,DMT,17,1.100212
13,DMT,18,1.215961
13,DMT,19,1.098806
13,DMT,20,1.105440
13,DMT,21,1.205507
13,DMT,22,1.289278
13,DMT,23,1.433266
13,DMT,24,1.355764
13,DMT,25,1.537192
13,DMT,26,1.418141
13,DMT,27,1.400626
13,PCB,0,1.268529
13,PCB,1,1.202347
13,PCB,2,1.296405
13,PCB,3,1.143597
13,PCB,4,1.207845
13,PCB,5,1.285734
13,PCB,6,1.232955
13,PCB,7,1.145854
13,PCB,8,1.200198
13,PCB,9,1.176686
13,PCB,10,1.119756
13,PCB,11,1.247119
13,PCB,12,1.242531
13,PCB,13,1.238034
13,PCB,14,1.208754
13,PCB,15,1.281339
13,PCB,16,1.257359
13,PCB,17,1.295802
13,PCB,18,1.335108
13,PCB,19,1.289825
13,PCB,20,1.171905
13,PCB,21,1.216080
13,PCB,22,1.303031
13,PCB,23,1.147571
13,PCB,24,1.147793
13,PCB,25,1.244202
13,PCB,26,1.342970
13,PCB,27,1.170541
